TITLE,PRICE,LINK
Kalbelia Enamel Embellished Ring,₹629,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/1004954/small/kalbelia-enamel-embellished-ring-vmjai43173-ms-20210121-16749-jzygk0.jpg
Rose Gold Plated Crossover Design Ring,₹749,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/1004692/small/rose-gold-plated-crossover-design-ring-dcjai23717-ms-20201223-5520-12z4v0m.jpg
Women's CZ Gemstone Adorned Ring,₹279,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/973260/small/women-s-cz-gemstone-adorned-ring-dcjai23760-ms-20200205-32011-qymrgy.jpg
Durga Tiger's Nail Statement Ring,₹269,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/989350/small/durga-tiger-s-nail-statement-ring-vmjai42333-ms-20200614-3558-s9ii2d.jpg
Floral and Geometric Motifs Statement Ring,₹389,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/1005699/small/floral-and-geometric-motifs-statement-ring-vmjai42505-ms-20210131-1028-1ylwkr7.jpg
Casual CZ Gemstone Adorned Ring,₹279,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/963285/small/casual-cz-gemstone-adorned-ring-dcjai23527-ms-20200125-4810-1wr06jr.jpg
Heart Motif CZ Gems Ring,₹549,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/963557/small/heart-motif-cz-gems-ring-dcjai23673-ms-20200125-4810-3q00s4.jpg
Brass Flower Motifs Casual Ring,₹259,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/989089/small/brass-flower-motifs-casual-ring-rdbom20206-ms-20200614-3974-1ys51lt.jpg
Aarambh Charan Paduka Ring,₹309,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/928431/small/aarambh-charan-paduka-ring-vmjai42290-ms-20191113-26911-16618i3.jpg
Lightly Embellished Brass Ring,₹229,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/1004552/small/lightly-embellished-brass-ring-dcjai23106-ms-20201223-8075-4q9zn3.jpg
Teardrop Cut Zircon Ring,₹319,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/924141/small/teardrop-cut-zircon-ring-dcjai23048-ms-20191105-6899-1xvirnu.jpg
Brass Oval Cut CZ Gem Ring,₹659,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/924132/small/brass-oval-cut-cz-gem-ring-dcjai23044-ms-20191105-6899-1m3c3w4.jpg
Cluster Setting Zircons Embellished Pipe Ring,₹879,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/923823/small/cluster-setting-zircons-embellished-pipe-ring-dcjai23096-ms-20191105-6899-ufcw6d.jpg
Gems Adorned Brass Ring,₹449,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/801144/small/gems-adorned-brass-ring-2-dcjai22710-ms-20190425-18881-gj35q0.jpg
Red Coral (Munga) 3.25 Ratti Ashtadhatu Rashi Ratna Ring with original Lab Test Certificate,"₹1,449",https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/794953/small/rashi-ratna-3-25-ratti-red-coral-ring-rsjai20414-ms-20190404-108183-gnw5ja.jpg
Bharatnatyam Drape Floral Pleats Brass Ring,₹399,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/751059/small/bharatnatyam-drape-floral-pleats-brass-ring-vmjai25288-ms-20180926-29377-fozncn.jpg
CZ Crown Ring,₹249,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/699937/small/cz-crown-ring-dcjai21518-ms-20180620-31132-1muxv4z.jpg
Gullak Ghungroo Drop Statement Ring,₹579,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/1028746/small/gullak-ghungroo-drop-statement-ring-vmjai43362-ms-20210616-9156-s5svmi.jpg
Gullak Numeric Print Statement Ring,₹579,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/1028731/small/gullak-numeric-print-statement-ring-vmjai43360-ms-20210616-9156-1gz8vx8.jpg
Gullak Crystal Stones Studded Statement Ring,₹579,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/1028791/small/gullak-crystal-stones-studded-statement-ring-vmjai43359-ms-20210616-9156-hii394.jpg
Gullak Numeric Statement Ring,₹629,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/1028741/small/gullak-numeric-statement-ring-vmjai43361-ms-20210616-9156-ln8omk.jpg
Rava Ball Trending Silver Oxidized Ring,₹649,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/1011145/small/rava-ball-trending-silver-oxidized-ring-vmjai43297-ms-20210409-17377-8t9k6n.jpg
Rava Ball Classy Statement Ring,₹649,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/1011129/small/rava-ball-classy-statement-ring-vmjai43295-ms-20210409-17377-1nr08g1.jpg
Rava Ball Silver Oxidized Plated Ring.,₹579,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/1011121/small/rava-ball-silver-oxidized-plated-ring-vmjai43293-ms-20210409-17377-1xxi69v.jpg
Rava Ball Silver Oxidized Statement Ring,₹699,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/1011117/small/rava-ball-silver-oxidized-statement-ring-vmjai43291-ms-20210409-17377-re71js.jpg
Rava Ball Square Shaped Statement Ring,₹499,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/1011034/small/rava-ball-square-shaped-statement-ring-vmjai43255-ms-20210409-17377-3qwp9j.jpg
Rava Ball Square Statement Ring,₹499,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/1011006/small/rava-ball-square-statement-ring-vmjai43296-ms-20210409-17377-1ius379.jpg
Kalbelia Enameled Statement Ring,₹399,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/1004931/small/kalbelia-enameled-statement-ring-1-vmjai43174-ms-20210121-28408-16we0pz.jpg
Kalbelia Red Enameled Ring,₹479,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/1004913/small/kalbelia-red-enameled-ring-vmjai43186-ms-20210121-28408-lc5slu.jpg
Kalbelia Enameled Statement Ring,₹799,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/1004875/small/kalbelia-enameled-statement-ring-vmjai43172-ms-20210121-28408-1momrct.jpg
Set of Three Brass Rings,₹799,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/1004468/small/set-of-three-brass-rings-dcjai23759-ms-20201223-5520-1vu5ev.jpg
Textured Surface Brass Ring,₹599,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/1004460/small/textured-surface-brass-ring-dcjai23751-ms-20201223-5520-1yox4fe.jpg
Three Piece Heavily Embellished Ring,₹999,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/1004700/small/three-piece-heavily-embellished-ring-dcjai23781-ms-20201223-5520-ycuhl8.jpg
Rose Gold Plated Cluster Setting CZ Gems Ring,₹399,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/1004576/small/rose-gold-plated-cluster-setting-cz-gems-ring-dcjai23720-ms-20201223-8075-3aldo2.jpg
Heavily Embellished Three Piece Ring,₹999,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/1004625/small/heavily-embellished-three-piece-ring-dcjai23758-ms-20201223-8075-vb1yra.jpg
Women's Gold Plated Band Ring,₹699,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/979982/small/women-s-gold-plated-band-ring-dcjai23767-ms-20200303-31411-kz0n0.jpg
Silver Plated Band Ring,₹499,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/1004512/small/silver-plated-band-ring-3-dcjai23683-ms-20201223-5520-k0iyxx.jpg
Square CZ Gems Adorned Ring,₹279,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/998560/small/square-cz-gems-adorned-ring-dcjai23747-ms-20200918-24021-4hq5pj.jpg
Gold Toned Zircon Adorned Stackable Rings,₹449,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/1004617/small/gold-toned-zircon-adorned-stackable-rings-dcjai23757-ms-20201223-5520-kl6rht.jpg
CZ Gems Adorned Women's Ring,₹509,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/998542/small/cz-gems-adorned-women-s-ring-1-dcjai23754-ms-20200918-16567-m2ymx2.jpg
Cluster Setting CZ Gems Adorned Ring,₹419,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/973731/small/cluster-setting-cz-gems-adorned-ring-dcjai23763-ms-20200205-19836-1ftu660.jpg
